id,type,time,author,author_id,re_tweeter,associated_tweet,text,links,hashtags,mentions,reply_count,favorite_count,retweet_count
1229911454758735872,tweet,1582068716000,UlfDressler,865633567,,1229911454758735872,Wow. Experience on the ship by a professor for infectious disease control. This is beyond imagination. If true this will not end well. #coronavirus #CoronavirusOutbreak #Japan.  “#DiamondPrincess is #COVID19 mill. How I got in the ship and was removed...”https://youtu.be/vtHYZkLuKcI,['https://t.co/DXdUzbcLpV'],"['#coronavirus', '#CoronavirusOutbreak', '#Japan', '#DiamondPrincess', '#COVID19']",[],0,1,0
1229911451839729666,tweet,1582068715000,tituscues,1631299927,,1229911451839729666,Coronavirus Pandemic: The Next Two Weeks Are Critical https://youtu.be/gojy7ChZ8h8  via @YouTube,['https://t.co/Rw9PuL46a8'],[],['@YouTube'],0,0,0
1229911451772637184,tweet,1582068715000,SimbaVwS,1153374062,,1229872818315243522,Ill be your coronavirus,[],[],[],0,1,0
1229911451411898371,tweet,1582068715000,ml_altair,823191621349101568,,1229911451411898371,"Latest on Corona virus from NYC Dept of Health & from NY State Dept of Health. With airport screening in place now for several weeks & other measures to monitor suspect cases (it mimics the flu), still zero cases. https://www1.nyc.gov/site/doh/health/health-topics/coronavirus.page …https://www.health.ny.gov/diseases/communicable/coronavirus/ …","['https://t.co/Xs5l9zfK2s', 'https://t.co/OToh9o7bk2']",[],[],0,0,0
1229911440393371648,tweet,1582068712000,liviiraee,1924918778,,1229911440393371648,The lead doctor treating coronavirus patients DIED FROM THE VIRUS. Uhm...,[],[],[],0,0,0
1229911431090507776,tweet,1582068710000,trumpathon,2303652506,,1229911431090507776,"Must watch, coronavirus outbreak cctv and other secret videos unseen footage http://trumpathon.com/must-watch-coronavirus-outbreak-cctv-and-other-secret-videos-unseen-footage/ …",['https://t.co/wc7yEg9fgA'],[],[],0,0,0
1229911430972837889,tweet,1582068710000,Merlisala,330101243,,1229911430972837889,Cada vez mas adicta a comprar cosas en China pero ahora con el coronavirus me da miedito,[],[],[],0,0,0
1229911421577658368,tweet,1582068708000,peace72904449,1224274226762280960,,1229911421577658368,Preparing as if this is the next pandemic! #coronavirus #COVID_2019https://twitter.com/v2019n/status/1223312285596184576 …,['https://t.co/F2IMdB3SPo'],"['#coronavirus', '#COVID_2019']",[],0,0,0
1229911419044421632,tweet,1582068707000,RadioSplendid,3085026177,,1229911419044421632,#esÚltimo #deAhoraLa OMS pide calma por el coronavirus que ha matado a 1.900 personas en China https://www.radiosplendid.bo/2020/02/18/la-oms-pide-calma-por-el-coronavirus-que-ha-matado-a-1-900-personas-en-china/ …pic.twitter.com/8e0Z1OhMTD,"['https://t.co/xycTeV81gh', 'https://t.co/8e0Z1OhMTD']",['#deAhora'],[],0,0,0
1229911415659597825,tweet,1582068706000,Martintomahe,922958168854016002,,1229911415659597825,#PeriodismoPS El coronavirus ha sido la pandemia más letal de los últimos tiempos. Se espera que el virus llegue a la etapa donde se estanque y comience un declive en su propagación.,[],['#PeriodismoPS'],[],0,0,0
1229911413902188544,tweet,1582068706000,fukushimaexpos2,921870486732021760,,1229911413902188544,"Coronavirus death toll in mainland China hits 2,000 with 132 more fatalities in Hubei. https://www.scmp.com/news/china/society/article/3051250/coronavirus-mainland-death-toll-hits-2000-132-more-fatalities?utm_content=article&utm_medium=Social&utm_source=Twitter#Echobox=1582067565 …",['https://t.co/SjmfL411WI'],[],[],0,0,0
1229911409481408512,tweet,1582068705000,WakeUpCanada1,794548575673978880,,1229911409481408512,#CORONAVIRUS https://twitter.com/WHO/status/1229856331617783808 …,['https://t.co/fJIKBPzY7T'],['#CORONAVIRUS'],[],0,0,0
1229911408055390209,tweet,1582068704000,financialnewsn,795927545170432001,,1229911408055390209,#usa #india #china #amazon #JeffBezos #tesla #elonmusk #softbank #uber #oyo #japan #trump #news #breaking #breakingnews #Brexit #hongkong #wallstreet #investing #buffet #coronavirus #southkorea #CoronavirusOutbreak #coronaviruschina  #Neymar #Liverpool #Klopp #Haalandhttps://twitter.com/financialnewsn/status/1229910374968852480 …,['https://t.co/dNPn1vQpkH'],"['#usa', '#india', '#china', '#amazon', '#JeffBezos', '#tesla', '#elonmusk', '#softbank', '#uber', '#oyo', '#japan', '#trump', '#news', '#breaking', '#breakingnews', '#Brexit', '#hongkong', '#wallstreet', '#investing', '#buffet', '#coronavirus', '#southkorea', '#CoronavirusOutbreak', '#coronaviruschina', '#Neymar', '#Liverpool', '#Klopp', '#Haaland']",[],0,0,0
1229911407170375680,tweet,1582068704000,la_patilla,124172948,,1229911407170375680,El saldo de la epidemia causada por el coronavirus superó los dos mil muertos en China http://j.mp/326JFza,['https://t.co/yFaTuchxvT'],[],[],0,0,1
1229911406721499141,tweet,1582068704000,ahmdfighterbird,495427206,,1229911406721499141,#كورونا #كورونا_في_مصر #كورونا_وصل_مصر #corona_virus #coronavavirus #CoronaViruesue  #corrona #chinapic.twitter.com/Vw2rhaBxgQ,['https://t.co/Vw2rhaBxgQ'],"['#corona_virus', '#coronavavirus', '#CoronaViruesue', '#corrona', '#china']",[],0,0,0
1229911403378683904,tweet,1582068703000,fukushimaexpos2,921870486732021760,,1229911403378683904,Police check homes of millions of residents in Wuhan for coronavirus. https://www.news.com.au/world/asia/no-household-shall-be-left-unchecked-millions-of-residents-to-be-checked-for-coronavirus/news-story/4bfdde0add57be3e90fd40b6cd47e4ff#.epwd2 …,['https://t.co/Iwqw6ShiXO'],[],[],0,0,0
1229911402086895622,tweet,1582068703000,boanerges573,1922840113,,1229778036104552448,"Ed infatti sono aumenti i casi di TBC, guarda caso. E se fuggono questi, figuriamoci se non fuggono anche quelli che dovessero arrivare col coronavirus.",[],[],[],0,0,0
1229911396554625026,tweet,1582068702000,fukushimaexpos2,921870486732021760,,1229911396554625026,British tourist's first stop is McDonald's after being 'cured' of coronavirus.  What do you think is gonna happen? https://www.mirror.co.uk/news/world-news/coronavirus-brit-tourists-first-stop-21521384?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar …,['https://t.co/qJeuebF8KA'],[],[],0,0,0
1229911395925471238,tweet,1582068702000,ellesee87,1002426206,,1229911395925471238,"Well that took a weird turn, talking about the @spurs and then boom Coronavirus...wha?!?!? #SATX #UTSA #MAOT @SheaSerranopic.twitter.com/8INmYgu6xV",['https://t.co/8INmYgu6xV'],"['#SATX', '#UTSA', '#MAOT']","['@spurs', '@SheaSerrano']",0,0,0
1229911389893824512,tweet,1582068700000,_Jenz_Y,1056441728,,1229911389893824512,Olurda #coronavirus kaparsaniz gidin akp'lilerle opusun koklasin hayat kisa küs gitmeyin bu dunyadan...,[],['#coronavirus'],[],1,2,0
1229911384302817281,tweet,1582068699000,eer_mongol,484392064,,1229878152459161601,He was right that’s corona virus outbreak was caused by systematic corruption and government negligence. However it is also true that corruption does not physically produce the virus.,[],[],[],0,1,0
1229911380968390657,tweet,1582068698000,josueibarra09,199214811,,1229909438431031301,"A tu expansión en redes, modo coronavirus",[],[],[],0,0,0
1229911372345024513,tweet,1582068696000,JrmChenu,185741133,,1229911372345024513,Company in central Taiwan put into quarantine after employee’s family infected with Wuhan coronavirus | Taiwan News https://www.taiwannews.com.tw/en/news/3877908,['https://t.co/XN2cr1Fgy8'],[],[],0,0,0
1229911370944131073,tweet,1582068696000,ramonposadasym,862191505,,1229911370944131073,Valla ahora el Corona virus  mañana que será? https://twitter.com/ramonposadasym/status/1229616362626179073 …,['https://t.co/c35tHkrJes'],[],[],0,0,0
1229911370470219777,tweet,1582068696000,irios2010,176139069,,1229911370470219777,Este escándalo del coronavirus en Tegucigalpa me suena más a decretos dudosos en el congreso!!!!,[],[],[],0,0,0
1229911361620189185,tweet,1582068693000,ReardonJeff,439237864,,1229911361620189185,BREAKING: California Governor Gavin Newsome Explains how California wants to be a Sanctuary for people infected with the Coronavirus. No details were provided. pic.twitter.com/wNTugDDFQR,['https://t.co/wNTugDDFQR'],[],[],0,0,0
1229911360659652608,tweet,1582068693000,vsyelania41,857709675885858816,,1229911360659652608,Il ministro della sanità della Corea del Nord afferma che non ci sono ancora casi confermati di coronavirus nel paese  - Yonhap https://twitter.com/COVID_19NEWS/status/1229908610186002433 …,['https://t.co/aO9eoEQeZe'],[],[],0,0,0
1229911357119746048,tweet,1582068692000,Bemand4,1206284935507697669,,1229911357119746048,Russia to ban entry of Chinese nationals to halt virus https://mol.im/a/8016463  via @MailOnline #coronavirus,['https://t.co/zgZ1p6l3Pd'],['#coronavirus'],['@MailOnline'],0,0,0
1229911354775134209,tweet,1582068692000,KMbappismo,1138124357287501826,,1229909948802510850,Yo pensando: “No puede ser lo del coronavirus jajajaj”,[],[],[],1,1,0
1229911345266659328,tweet,1582068690000,GreenSpica,1135622391814664195,,1229754965763272710,Carla quedate tranquila que con ese look & feel tenes inmunidad hasta de la cepa mas voraz del coronavirus.,[],[],[],0,0,0
1229911337884618755,tweet,1582068688000,hondudiario,94437807,,1229911337884618755,"""Matenla"" le gritan a hondureña que se encuentra en observación por sospechas de coronavirus, pero que NO tiene la enfermedad según las autoridades de Salud. pic.twitter.com/yKIvA6S2Ym",['https://t.co/yKIvA6S2Ym'],[],[],0,1,0
1229911332893278208,tweet,1582068687000,saitod5,885983574784000000,,1229911332893278208,マスクほしいなぁ、#coronavirus #コロナpic.twitter.com/MtDOBuLsCr,['https://t.co/MtDOBuLsCr'],['#coronavirus'],[],0,1,1
1229911328783028224,tweet,1582068686000,zoro8,63941153,,1229911328783028224,#China Detains Activist Who Accused #Xi of #Coronavirus #Cover-Up via @dnyuzcomhttps://dnyuz.com/2020/02/17/china-detains-activist-who-accused-xi-of-coronavirus-cover-up/ …,['https://t.co/82ZkUyEY0K'],"['#China', '#Xi', '#Coronavirus', '#Cover']",['@dnyuzcom'],0,0,0
1229911327667376130,tweet,1582068685000,RepChipRoy,1082790600292925440,,1229911327667376130,"As a member of Congress representing large portions of San Antonio, including large portions of @JBSA_Official - Lackland, I sent a letter this evening to @SecAzar and @EsperDoD regarding the administration's response to #coronavirus.https://roy.house.gov/media/press-releases/rep-chip-roy-sends-letter-trump-admin-its-response-coronavirus …",['https://t.co/QlTqiqnahk'],['#coronavirus'],"['@JBSA_Official', '@SecAzar', '@EsperDoD']",0,2,3
1229911325922484224,tweet,1582068685000,deepthottuesday,1228331869500051461,,1229911325922484224,If I catch any of you fuckers using the Coronavirus to justify your racism you will be meeting the friends of M and the friends of M are my fucking fists.,[],[],[],0,0,0
1229911324496465920,tweet,1582068685000,KinoOkkult,2802215618,,1229911324496465920,MMnews: Ist das Coronavirus der nächste schwarze Schwan? http://www.mmnews.de/wirtschaft/139080-ist-das-coronavirus-der-naechste-schwarze-schwan … #Finanzkrise #Wirtschaft,['https://t.co/xWsSwuqITY'],"['#Finanzkrise', '#Wirtschaft']",[],0,0,0
1229911324290899971,tweet,1582068685000,HyperPrimeTech,1649282959,,1229911324290899971,"Last week, the CCP tried sending it's people back to work in the middle of a widespread epidemic.  This was totally expected.  All governments will put GDP ahead of human lives.  Saving lives requires the economy come to a halt.#Coronavirus https://www.zerohedge.com/geopolitical/japan-confirms-88-more-cases-aboard-diamond-princess-one-day-quarantine-set-end …",['https://t.co/xvFmUIGqAf'],['#Coronavirus'],[],0,0,0
1229911320956481536,tweet,1582068684000,murillomeneses,144574284,,1229911320956481536,Brasil tá tão foda de se morar que nem o corona vírus quer vim pra cá.,[],[],[],1,0,0
1229911316845850624,tweet,1582068683000,LuluWalcott1,621335481,,1229911316845850624,#Health #Virus #Coronavirus #Travel --> The tale of two cruise ships carrying thousands of tourists from around the world shows the extreme challenge of containing coronavirus. https://slate.com/news-and-politics/2020/02/coronavirus-passengers-quarantined-cruise-ships-diamond-princes-westerdam-released.html …,['https://t.co/ksitC0Q8B0'],"['#Health', '#Virus', '#Coronavirus', '#Travel']",[],0,0,0
1229911314253959174,tweet,1582068682000,World_Affairs_X,2814667518,,1229911314253959174,"Someone, with INdirect contact to Abe, is confirmed to have the #CoronaVirus#COVIDｰ19https://www.japantimes.co.jp/news/2020/02/18/national/kyodo-staff-coronavirus/ …",['https://t.co/rDGz86oksX'],['#CoronaVirus'],[],0,0,0
1229911310613090305,tweet,1582068681000,Ve_Baiense,216707517,,1229911310613090305,A forma como as pessoas tão lidando com o corona vírus já passou dos limitesHisteria coletiva do carajo,[],[],[],0,0,0
1229911306209128450,tweet,1582068680000,Stckysheets,160219455,,1229909221606490112,Good luck to him trying to get back without being tested during the 14 day quarantine period for the Coronavirus that he thinks he is going to avoid.  See what the CDC has to say about the Diamond Princess passengers. https://twitter.com/BNODesk/status/1229890821203398656 …,['https://t.co/gG9sUpdhPy'],[],[],0,0,0
1229911298458165254,tweet,1582068678000,Abstreichkarten,2920641551,,1229911298458165254,Jeder weitere Tag ein Tag voller Trauer...+       1 Tag+ 1888 weitere Infizierte+   139 weitere Tote#Coronavirus #Corona Virus Germany #COVID19Hier gibt es die aktuellsten Informationen! Schnell anmelden und mitreden! Fragen & Antworten!https://www.facebook.com/groups/2725253344221711/ …pic.twitter.com/mqcXch9Scv,"['https://t.co/4oYIbdsRYO', 'https://t.co/mqcXch9Scv']","['#Coronavirus', '#Corona', '#COVID19']",[],0,0,0
1229911297271238657,tweet,1582068678000,tavo_herreraTF,774111738,,1229911297271238657,La copia sintética del coronavirus chino que podría acabar con él https://ift.tt/39JFqfC pic.twitter.com/h2naNmajiq,"['https://t.co/eKOG9H0316', 'https://t.co/h2naNmajiq']",[],[],0,0,0
1229911292875550726,tweet,1582068677000,contrapuntovzla,2400260346,,1229911292875550726,El número diario de fallecidos por coronavirus se redujo a menos de 100 en China. http://bit.ly/2vIKHoW pic.twitter.com/sxUyB8VzFa,"['https://t.co/6RlbMZS5d8', 'https://t.co/sxUyB8VzFa']",[],[],0,0,0
